VariableName,Description,SurveyQuestion,Href
depress,told have depression,"Now I would like to ask you some questions about general health conditions. Has a doctor, nurse, or other health professional EVER told you that you had: D. Depression?",/variables/2845/vshow
diabetes,told have diabetes,"Now I would like to ask you some questions about general health conditions. Has a doctor, nurse, or other health professional EVER told you that you had: C. Diabetes or high blood pressure?",/variables/2844/vshow
diagnosd,r ever diagnosed with mh problem,Have you ever been diagnosed with a mental health problem?,/variables/7147/vshow
dipged,"diploma, ged, or other","Was that a diploma awarded by your high school at graduation at the end of 12th grade, a GED awarded after you took a test, or something else? As of 2024, DIPGED has been recoded to only account for three categories. This has been retroactively applied to all previous years of DIPGED. The original DIPGED containing data 2012 to 2022 has been renamed DIPGED_1222.",/variables/65/vshow
discaff,whites hurt by aff. action,"What do you think the chances are these days that a white person won''t get a job or promotion while an equally or less qualified black person gets one instead? Is this very likely, somewhat likely, or not very likely to happen these days?",/variables/1251/vshow
discaffm,a man won't get a job or promotion,"A. What do you think the chances are these days that a man won't get a job or promotion while an equally or less qualified woman gets one instead? Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?",/variables/1674/vshow
discaffw,a woman won't get a job or promotion,"B. What do you think the chances are these days that a woman won't get a job or promotion while an equally or less qualified man gets one instead? Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?",/variables/1675/vshow
divlaw,divorce laws,A. Should divorce in this country be easier or more difficult to obtain than it is now?,/variables/627/vshow
divorce,ever been divorced or separated,"Are you currently--married, widowed, divorced, separated, or have you never been married? B. IF CURRENTLY MARRIED OR WIDOWED: Have you ever been divorced or legally separated?",/variables/21/vshow
dofirst,here are the things you said {#secl_name} should do... interviewer: read list,Here are the things you said [John/Juan/Mary/Maria] should do... What is the first thing s/he should do?,/variables/7094/vshow
earnrs,how many in family earned money,"Just thinking about your family now--those people in the household who are related to you . . . How many persons in the family, including yourself, earned any money last year -[the previous year] - from any job or employment? As of 2024, EARNRS has been recoded to only account for 0 to 3+ household earners. This has been retroactively applied to all previous years of EARNRS. The original EARNRS containing data from 1972 to 2022 has been renamed EARNRS_7222.",/variables/103/vshow
educ,highest year of school completed,"ASK ALL PARTS OF QUESTION ABOUT RESPONDENT BEFORE GOING ON TO ASK ABOUT R'S FATHER; AND THEN R'S MOTHER; THEN R'S SPOUSE, IF R IS CURRENTLY MARRIED. A. What is the highest grade in elementary school or high school that (you/your father/ your mother/your [husband/wife]) finished and got credit for? CODE EXACT GRADE. B. IF FINISHED 9th-12th GRADE OR DK*: Did (you/he/she) ever get a high school diploma or a GED certificate? [SEE D BELOW.] [See REMARKS] C. Did (you/he/she) complete one or more years of college for credit--not including schooling such as business college, technical or vocational school? IF YES: How many years did (you/he/she) complete? Do you (Does [he/she]) have any college degrees? (IF YES: What degree or degrees?) CODE HIGHEST DEGREE EARNED.",/variables/55/vshow
eldcost,who should pay for help for elderly,And who do you think should primarily cover the costs of this help to these elderly people?,/variables/4472/vshow
eldfnce,GRANDPARENTS SHOULD HELP GRANDCHILDREN FINANCIALLY,"Consider an elderly couple. One of their grandchildren is in need of temporary financial help because the company he/she worked for closed down recently. Do you think they should, or should not, try their best to help their grandchild financially? Pleas",/variables/7780/vshow
eldhelp,who should provide help for elderly,"Thinking about elderly people who need some help in their everyday lives, such as help with grocery shopping, cleaning the house, doing the laundry etc. Who do you think should primarily provide this help?",/variables/4471/vshow
emailhr,email hours per week,About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?,/variables/2382/vshow
emailmin,email minutes per week,About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?,/variables/2381/vshow
empinput,r involved in any task force for decision-making,"Some companies have organized workplace decision-making in ways to get more employee input and involvement. Are you personally involved in any group, team, committee, or task force that addresses issues such as product quality, cost cutting, productivity, health and safety, or other workplace issues?",/variables/3557/vshow
emptrain,received formal training from employer,"B. In the last 12 months have you received any formal training from your current employer, such as in classes or seminars sponsored by the employer?",/variables/3559/vshow
enprbus,most important environment problem,"D. Here is a list of some different environmental problems. Which problem, if any, do you think is the most important for America as a whole?",/variables/4803/vshow
eqwlth,should govt reduce income differences,"A. Some people think that the government in Washington ought to reduce the income differences between the rich and the poor, perhaps by raising the taxes of wealthy families or by giving income assistance to the poor. Others think that the government should not concern itself with reducing this income difference between the rich and the poor. Here is a card with a scale from 1 to 7. Think of a score of 1 as meaning that the government ought to reduce the income differences between rich and poor, and a score of 7 meaning that the government should not concern itself with reducing income differences. What score between 1 and 7 comes closest to the way you feel? (CIRCLE ONE):",/variables/243/vshow
esop,r is member of esop,A. Are you a member of an Employee Stock Ownership Plan commonly called an ESOP?,/variables/3561/vshow
eth1,1st mentioned country of origin,From what countries or part of the world did your ancestors come? B. FIRST ETHNICITY MENTIONED,/variables/5264/vshow
eth2,2nd mentioned country of origin,From what countries or part of the world did your ancestors come? C. SECOND ETHNICITY MENTIONED,/variables/5265/vshow
eth3,3rd mentioned country of origin,From what countries or part of the world did your ancestors come? D. THIRD ETHNICITY MENTIONED,/variables/5266/vshow
