Variable,Description,SurveyQuestion
jobvsfa1,how often jobtakes too much time to fulfill family resp,How often has each of the following happened to you during the past three months? B. It has been difficult for you to fulfil your family responsibilities because of the amount of time you spent on your job.
kidnofre,kids interfere with parents' freedom,Do you agree or disagree ... C. Having children interferes too much with the freedom of parents.
kidsocst,having children increases social standing in society,To what extent do you agree or disagree with the following statements? E. Having children increases people’s social standing in society.
kidssol,r's kids living standard compared to r,"B. When your children are at the age you are now, do you think their standard of living will be much better, somewhat better, about the same, somewhat worse, or much worse than yours is now?"
laidoff,r was laid off main job last year,Were you laid off your main job at any time in the last year?
lasers,sci knowledge: lasers work by focusing sound waves,"Now, I would like to ask you a few short questions like those you might see on a television game show. for each statement that I read, please tell me if it is true or false. If you don’t know or aren’t sure, just tell me so, and we will skip to the next question. Remember true, false, or don’t know. D. Lasers work by focusing sound waves. (Is that true or false?)"
laundry1,who in household does laundry,In your household who does the following things...? A. Does the laundry?
ldctax,rich countries pay tax to help poor countries,"Turning to international differences, do you agree or disagree: B. People in wealthy countries should make an additional tax contribution to help people in poor countries."
letdie1,allow incurable patients to die,"When a person has a disease that cannot be cured, do you think Doctors should be allowed by law to end the patient''s life by some painless means if the patient and his family request it?"
letdie1y,allow incurable patients to die (form 2),"When a person has a disease that cannot be cured, do you think doctors should or should not be allowed by law to end the patient’s life by some painless means if the patient and his family request it?"
libath,allow anti-religious book in library,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion . . . C. If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library, would you favor removing this book, or not?"
libathy,allow anti-religionist to teach y,"(There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion…) If some people in your community suggested that a book this person wrote against churches and religion should be taken out of your public library, would you favor removing this book, or not?"
libcom,allow communists book in library,"Now, I should like to ask you some questions about a man who admits he is a Communist. C. Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it, or not?"
libhomo,allow homosexuals book in library,"And what about a man who admits that he is a homosexual? C. If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library, would you favor removing this book, or not?"
libmil,allow militarists book in library,"Consider a person who advocates doing away with elections and letting the military run the country. C. Suppose he wrote a book advocating doing away with elections and letting the military run the country. somebody in your community suggests that the book be removed from the public library. Would you favor removing it, or not?"
libmslm,allow anti-american muslim clergymen's books in library,"Now consider a Muslim clergyman who preaches hatred of the United States. C. If some people in your community suggested that a book he wrote which preaches hatred of the United States should be taken out of your public library, would you favor removing this book, or not?"
librac,allow racists book in library,"Or consider a person who believes that Black people are genetically inferior.C. If some people in your community suggested that a book he wrote which said Black people are inferior should be taken out of your public library, would you favor removing this book, or not?"
life,is life exciting or dull,"In general, do you find life exciting, pretty routine, or dull?"
madeg,Mother's (or youngest same-sex parent's) highest degree,RESPONDENT'S MOTHER'S (SUBSTITUTE MOTHER'S) DEGREE
